#x y z n map H1 H2 H3 C
0 0 0 0 1 0.002000 -0.002000 0.000000 0.000000 
0 1 0 1 1 0.002000 -0.002000 0.000000 0.000000 
0 2 0 2 1 0.002000 -0.002000 0.000000 0.000000 
0 3 0 3 1 0.002000 -0.002000 0.000000 0.000000 
0 4 0 4 1 0.002000 -0.002000 0.000000 0.000000 
0 5 0 5 1 0.002000 -0.002000 0.000000 0.000000 
0 6 0 6 1 0.002000 -0.002000 0.000000 0.000000 
0 7 0 7 1 0.002000 -0.002000 0.000000 0.000000 
0 8 0 8 1 0.002000 -0.002000 0.000000 0.000000 
0 9 0 9 1 0.002000 -0.002000 0.000000 0.000000 
0 10 0 10 1 0.002000 -0.002000 0.000000 0.000000 
0 11 0 11 1 0.002000 -0.002000 0.000000 0.000000 
0 12 0 12 1 0.002000 -0.002000 0.000000 0.000000 
0 13 0 13 1 0.002000 -0.002000 0.000000 0.000000 
0 14 0 14 1 0.002000 -0.002000 0.000000 0.000000 
0 15 0 15 1 0.002000 -0.002000 0.000000 0.000000 
0 16 0 16 1 0.002000 -0.002000 0.000000 0.000000 
0 17 0 17 1 0.002000 -0.002000 0.000000 0.000000 
0 18 0 18 1 0.002000 -0.002000 0.000000 0.000000 
0 19 0 19 1 0.002000 -0.002000 0.000000 0.000000 
0 20 0 20 1 0.002000 -0.002000 0.000000 0.000000 
0 21 0 21 1 0.002000 -0.002000 0.000000 0.000000 
0 22 0 22 1 0.002000 -0.002000 0.000000 0.000000 
0 23 0 23 1 0.002000 -0.002000 0.000000 0.000000 
0 24 0 24 1 0.002000 -0.002000 0.000000 0.000000 
0 25 0 25 1 0.002000 -0.002000 0.000000 0.000000 
0 26 0 26 1 0.002000 -0.002000 0.000000 0.000000 
0 27 0 27 1 0.002000 -0.002000 0.000000 0.000000 
0 28 0 28 1 0.002000 -0.002000 0.000000 0.000000 
0 29 0 29 1 0.002000 -0.002000 0.000000 0.000000 
0 30 0 30 1 0.002000 -0.002000 0.000000 0.000000 
0 31 0 31 1 0.002000 -0.002000 0.000000 0.000000 
1 0 0 32 1 0.002000 -0.002000 0.000000 0.000000 
1 1 0 33 0 0.000000 0.000000 0.000000 0.000000 
1 2 0 34 0 0.000000 0.000000 0.000000 0.000000 
1 3 0 35 0 0.000000 0.000000 0.000000 0.000000 
1 4 0 36 0 0.000000 0.000000 0.000000 0.000000 
1 5 0 37 0 0.000000 0.000000 0.000000 0.000000 
1 6 0 38 0 0.000000 0.000000 0.000000 0.000000 
1 7 0 39 0 0.000000 0.000000 0.000000 0.000000 
1 8 0 40 0 0.000000 0.000000 0.000000 0.000000 
1 9 0 41 0 0.000000 0.000000 0.000000 0.000000 
1 10 0 42 0 0.000000 0.000000 0.000000 0.000000 
1 11 0 43 0 0.000000 0.000000 0.000000 0.000000 
1 12 0 44 0 0.000000 0.000000 0.000000 0.000000 
1 13 0 45 0 0.000000 0.000000 0.000000 0.000000 
1 14 0 46 0 0.000000 0.000000 0.000000 0.000000 
1 15 0 47 0 0.000000 0.000000 0.000000 0.000000 
1 16 0 48 0 0.000000 0.000000 0.000000 0.000000 
1 17 0 49 0 0.000000 0.000000 0.000000 0.000000 
1 18 0 50 0 0.000000 0.000000 0.000000 0.000000 
1 19 0 51 0 0.000000 0.000000 0.000000 0.000000 
1 20 0 52 0 0.000000 0.000000 0.000000 0.000000 
1 21 0 53 0 0.000000 0.000000 0.000000 0.000000 
1 22 0 54 0 0.000000 0.000000 0.000000 0.000000 
1 23 0 55 0 0.000000 0.000000 0.000000 0.000000 
1 24 0 56 0 0.000000 0.000000 0.000000 0.000000 
1 25 0 57 0 0.000000 0.000000 0.000000 0.000000 
1 26 0 58 0 0.000000 0.000000 0.000000 0.000000 
1 27 0 59 0 0.000000 0.000000 0.000000 0.000000 
1 28 0 60 0 0.000000 0.000000 0.000000 0.000000 
1 29 0 61 0 0.000000 0.000000 0.000000 0.000000 
1 30 0 62 0 0.000000 0.000000 0.000000 0.000000 
1 31 0 63 1 0.002000 -0.002000 0.000000 0.000000 
2 0 0 64 1 0.002000 -0.002000 0.000000 0.000000 
2 1 0 65 0 0.000000 0.000000 0.000000 0.000000 
2 2 0 66 0 0.000000 0.000000 0.000000 0.000000 
2 3 0 67 0 0.000000 0.000000 0.000000 0.000000 
2 4 0 68 0 0.000000 0.000000 0.000000 0.000000 
2 5 0 69 0 0.000000 0.000000 0.000000 0.000000 
2 6 0 70 0 0.000000 0.000000 0.000000 0.000000 
2 7 0 71 0 0.000000 0.000000 0.000000 0.000000 
2 8 0 72 0 0.000000 0.000000 0.000000 0.000000 
2 9 0 73 0 0.000000 0.000000 0.000000 0.000000 
2 10 0 74 0 0.000000 0.000000 0.000000 0.000000 
2 11 0 75 0 0.000000 0.000000 0.000000 0.000000 
2 12 0 76 0 0.000000 0.000000 0.000000 0.000000 
2 13 0 77 0 0.000000 0.000000 0.000000 0.000000 
2 14 0 78 0 0.000000 0.000000 0.000000 0.000000 
2 15 0 79 0 0.000000 0.000000 0.000000 0.000000 
2 16 0 80 0 0.000000 0.000000 0.000000 0.000000 
2 17 0 81 0 0.000000 0.000000 0.000000 0.000000 
2 18 0 82 0 0.000000 0.000000 0.000000 0.000000 
2 19 0 83 0 0.000000 0.000000 0.000000 0.000000 
2 20 0 84 0 0.000000 0.000000 0.000000 0.000000 
2 21 0 85 0 0.000000 0.000000 0.000000 0.000000 
2 22 0 86 0 0.000000 0.000000 0.000000 0.000000 
2 23 0 87 0 0.000000 0.000000 0.000000 0.000000 
2 24 0 88 0 0.000000 0.000000 0.000000 0.000000 
2 25 0 89 0 0.000000 0.000000 0.000000 0.000000 
2 26 0 90 0 0.000000 0.000000 0.000000 0.000000 
2 27 0 91 0 0.000000 0.000000 0.000000 0.000000 
2 28 0 92 0 0.000000 0.000000 0.000000 0.000000 
2 29 0 93 0 0.000000 0.000000 0.000000 0.000000 
2 30 0 94 0 0.000000 0.000000 0.000000 0.000000 
2 31 0 95 1 0.002000 -0.002000 0.000000 0.000000 
3 0 0 96 1 0.002000 -0.002000 0.000000 0.000000 
3 1 0 97 0 0.000000 0.000000 0.000000 0.000000 
3 2 0 98 0 0.000000 0.000000 0.000000 0.000000 
3 3 0 99 0 0.000000 0.000000 0.000000 0.000000 
3 4 0 100 0 0.000000 0.000000 0.000000 0.000000 
3 5 0 101 0 0.000000 0.000000 0.000000 0.000000 
3 6 0 102 0 0.000000 0.000000 0.000000 0.000000 
3 7 0 103 0 0.000000 0.000000 0.000000 0.000000 
3 8 0 104 0 0.000000 0.000000 0.000000 0.000000 
3 9 0 105 0 0.000000 0.000000 0.000000 0.000000 
3 10 0 106 0 0.000000 0.000000 0.000000 0.000000 
3 11 0 107 0 0.000000 0.000000 0.000000 0.000000 
3 12 0 108 0 0.000000 0.000000 0.000000 0.000000 
3 13 0 109 0 0.000000 0.000000 0.000000 0.000000 
3 14 0 110 0 0.000000 0.000000 0.000000 0.000000 
3 15 0 111 0 0.000000 0.000000 0.000000 0.000000 
3 16 0 112 0 0.000000 0.000000 0.000000 0.000000 
3 17 0 113 0 0.000000 0.000000 0.000000 0.000000 
3 18 0 114 0 0.000000 0.000000 0.000000 0.000000 
3 19 0 115 0 0.000000 0.000000 0.000000 0.000000 
3 20 0 116 0 0.000000 0.000000 0.000000 0.000000 
3 21 0 117 0 0.000000 0.000000 0.000000 0.000000 
3 22 0 118 0 0.000000 0.000000 0.000000 0.000000 
3 23 0 119 0 0.000000 0.000000 0.000000 0.000000 
3 24 0 120 0 0.000000 0.000000 0.000000 0.000000 
3 25 0 121 0 0.000000 0.000000 0.000000 0.000000 
3 26 0 122 0 0.000000 0.000000 0.000000 0.000000 
3 27 0 123 0 0.000000 0.000000 0.000000 0.000000 
3 28 0 124 0 0.000000 0.000000 0.000000 0.000000 
3 29 0 125 0 0.000000 0.000000 0.000000 0.000000 
3 30 0 126 0 0.000000 0.000000 0.000000 0.000000 
3 31 0 127 1 0.002000 -0.002000 0.000000 0.000000 
4 0 0 128 1 0.002000 -0.002000 0.000000 0.000000 
